speaker,utterance,attack,label,bona_fide_probability,spoof_probability,bona_fide_logit
LA_0021,DF_E_2020593,-,bonafide,0.9999998807907104,1.5670190123273642e-07,6.2068023681640625
LA_0041,DF_E_2002672,-,bonafide,0.9999390840530396,6.089306771173142e-05,3.802760362625122
LA_0010,DF_E_2032998,-,bonafide,0.9767271876335144,0.023272806778550148,1.2879223823547363
LA_0028,DF_E_2029535,-,bonafide,0.9999998807907104,1.1224341278648353e-07,6.348479747772217
LA_0044,DF_E_2015060,A14,spoof,7.57514062570408e-05,0.9999243021011353,-4.885280132293701
TEM2,DF_E_2007492,Task1-team33,spoof,0.012864693067967892,0.9871353507041931,-2.3776047229766846
TMM1,DF_E_2014185,Task2-team03,spoof,0.004214227199554443,0.9957857728004456,-2.648765802383423
TEF2,DF_E_2017134,Task1-team30,spoof,0.7930824160575867,0.20691758394241333,0.1964689940214157
LA_0044,DF_E_2018659,-,bonafide,0.9999947547912598,5.285835868562572e-06,4.69240665435791
VCC2SM4,DF_E_2011273,-,bonafide,0.9995200634002686,0.0004799125890713185,2.866245746612549
TFM1,DF_E_2032941,Task2-team05,spoof,5.0979345189716696e-08,1.0,-8.550480842590332
LA_0040,DF_E_2010993,-,bonafide,0.00018525436462368816,0.9998148083686829,-4.321466445922852
TEF2,DF_E_2036035,Task1-team14,spoof,4.232576975482516e-05,0.9999576807022095,-4.995254993438721
TEM1,DF_E_2018218,-,bonafide,0.9997054934501648,0.00029446344706229866,3.1119673252105713
TEF2,DF_E_2025415,Task1-team25,spoof,0.0001370234094792977,0.9998629093170166,-4.556766986846924
VCC2TM2,DF_E_2001087,SPO-N16,spoof,3.531523134370218e-06,0.9999964237213135,-6.139431953430176
TMM1,DF_E_2007227,Task2-team02,spoof,1.3592847381005413e-06,0.9999986886978149,-6.657329082489014
LA_0021,DF_E_2010565,A09,spoof,4.0833140246832045e-07,0.9999996423721313,-7.446524143218994
LA_0021,DF_E_2013561,-,bonafide,0.999996542930603,3.4769648209476145e-06,4.874888896942139
LA_0026,DF_E_2037315,-,bonafide,0.9999958276748657,4.147971139900619e-06,4.760978698730469
LA_0042,DF_E_2010776,-,bonafide,0.9964809417724609,0.00351901282556355,2.0762202739715576
TEM2,DF_E_2029484,-,bonafide,0.40832212567329407,0.5916779041290283,-0.41476887464523315
TGM1,DF_E_2008625,Task2-team13,spoof,0.00215696613304317,0.9978430271148682,-3.355581521987915
VCC2TM2,DF_E_2033927,HUB-N18,spoof,1.33666603119309e-07,0.9999998807907104,-8.20236873626709
TEM1,DF_E_2006115,Task1-team01,spoof,0.0004781612369697541,0.9995218515396118,-3.9046337604522705
TFF1,DF_E_2015558,Task2-team19,spoof,6.35964124739985e-06,0.9999936819076538,-5.884966850280762
LA_0020,DF_E_2015046,-,bonafide,0.9999997615814209,2.7110692712994933e-07,5.9924798011779785
LA_0008,DF_E_2018684,-,bonafide,0.9999998807907104,1.3811350640935416e-07,6.215210914611816
TGM1,DF_E_2005186,Task2-team06,spoof,3.4972894354723394e-05,0.9999650716781616,-5.560309410095215
LA_0033,DF_E_2021265,-,bonafide,0.9999958276748657,4.210183305985993e-06,4.813797473907471
LA_0044,DF_E_2035717,-,bonafide,0.9995831847190857,0.0004167977022007108,2.8083720207214355
LA_0001,DF_E_2028953,-,bonafide,0.9960164427757263,0.003983526024967432,2.079974412918091
LA_0014,DF_E_2008443,-,bonafide,0.9999942779541016,5.705175681214314e-06,4.760817050933838
LA_0026,DF_E_2002310,A19,spoof,0.001320457085967064,0.9986795783042908,-3.357828378677368
TGF1,DF_E_2024319,Task2-team28,spoof,0.9993446469306946,0.0006553408456966281,2.8269689083099365
LA_0043,DF_E_2018706,A17,spoof,2.7855321604874916e-05,0.9999721050262451,-5.354522228240967
LA_0042,DF_E_2027392,A15,spoof,0.002378117060288787,0.9976218342781067,-3.173138380050659
TGF1,DF_E_2027783,-,bonafide,0.06145591288805008,0.9385441541671753,-1.5416882038116455
LA_0030,DF_E_2030266,-,bonafide,0.9997109770774841,0.0002890023752115667,3.0640451908111572
LA_0002,DF_E_2033161,-,bonafide,0.9932895302772522,0.00671043898910284,1.6792240142822266
LA_0018,DF_E_2017521,-,bonafide,0.9999991655349731,7.768424552523356e-07,5.611794948577881
LA_0002,DF_E_2031469,-,bonafide,0.9999997615814209,2.8641809990404e-07,5.936659336090088
LA_0026,DF_E_2027647,-,bonafide,0.9995474219322205,0.00045254139695316553,2.8347320556640625
VCC2TM2,DF_E_2012867,-,bonafide,0.9607239365577698,0.03927605599164963,1.2039878368377686
VCC2TM2,DF_E_2033521,HUB-N04,spoof,1.8975950297317468e-05,0.9999810457229614,-5.609272480010986
LA_0044,DF_E_2018537,-,bonafide,0.9999867677688599,1.3190656318329275e-05,4.390401840209961
VCC2SF2,DF_E_2036572,-,bonafide,1.9035362129216082e-05,0.9999809265136719,-5.31834077835083
LA_0029,DF_E_2029208,A11,spoof,0.0004451487911865115,0.9995548129081726,-3.8071744441986084
VCC2SF4,DF_E_2012635,-,bonafide,0.9998272061347961,0.0001728404895402491,3.455404043197632
LA_0036,DF_E_2013715,A14,spoof,8.405951916756749e-07,0.9999991655349731,-7.185177326202393
VCC2TF2,DF_E_2033286,SPO-N18,spoof,1.0781010132632218e-05,0.9999892711639404,-5.983764171600342
LA_0028,DF_E_2007346,A13,spoof,0.0002724170626606792,0.9997275471687317,-4.098021030426025
LA_0005,DF_E_2005756,-,bonafide,0.9999910593032837,8.95549965207465e-06,4.482301235198975
VCC2TM2,DF_E_2015393,HUB-N20,spoof,8.388270202885906e-07,0.9999991655349731,-7.047924041748047
LA_0005,DF_E_2009967,-,bonafide,0.9999997615814209,2.7076174546891707e-07,5.957915306091309
TEM2,DF_E_2019162,Task1-team20,spoof,0.9993256330490112,0.0006743434933014214,2.807629108428955
LA_0036,DF_E_2004207,-,bonafide,0.9999980926513672,1.950422301888466e-06,5.226103782653809
TEM2,DF_E_2019431,Task1-team23,spoof,0.0018990032840520144,0.9981010556221008,-3.289224147796631
VCC2SM1,DF_E_2007773,-,bonafide,0.6504074335098267,0.34959253668785095,0.027549277991056442
LA_0003,DF_E_2030348,A11,spoof,6.360135739669204e-05,0.9999363422393799,-4.736145973205566
SEM1,DF_E_2014739,-,bonafide,0.0003374054504092783,0.9996626377105713,-4.084885120391846
LA_0029,DF_E_2027188,-,bonafide,0.9999951124191284,4.851408903050469e-06,4.735989570617676
TMM1,DF_E_2012161,Task2-team02,spoof,4.0087795127874415e-07,0.9999996423721313,-7.6041741371154785
VCC2TM2,DF_E_2036395,HUB-N04,spoof,0.0162565466016531,0.9837434887886047,-2.455043077468872
VCC2TF2,DF_E_2033577,SPO-N03,spoof,4.635847403733351e-07,0.9999995231628418,-7.360915660858154
VCC2TF1,DF_E_2028027,-,bonafide,0.9460341930389404,0.05396578088402748,1.0111150741577148
TEF1,DF_E_2034942,Task1-team09,spoof,0.0054513015784323215,0.9945487380027771,-2.532792568206787
VCC2TM1,DF_E_2003533,SPO-N06,spoof,1.6704932193079003e-07,0.9999998807907104,-8.01763916015625
TMF1,DF_E_2023208,Task2-team12,spoof,4.558443379210075e-06,0.9999954700469971,-6.121297359466553
LA_0007,DF_E_2008884,A11,spoof,5.730310658691451e-05,0.9999426603317261,-4.9317755699157715
TEF1,DF_E_2023781,Task1-team19,spoof,0.9998883008956909,0.00011174383689649403,3.569031000137329
TMF1,DF_E_2032310,Task2-team10,spoof,0.021904224529862404,0.9780957698822021,-1.962618350982666
TFM1,DF_E_2022826,-,bonafide,0.9999724626541138,2.748959195741918e-05,4.1122236251831055
TEF1,DF_E_2036300,-,bonafide,0.07920422405004501,0.9207957983016968,-1.464015007019043
LA_0048,DF_E_2036567,-,bonafide,0.016921736299991608,0.9830783009529114,-2.315202474594116
TMM1,DF_E_2025792,Task2-team20,spoof,0.9506074786186218,0.049392566084861755,0.964688241481781
LA_0018,DF_E_2012922,-,bonafide,0.9999971389770508,2.9136438115529018e-06,5.099032402038574
LA_0047,DF_E_2017515,-,bonafide,0.9999997615814209,1.9633650083505927e-07,6.214614391326904
VCC2TM2,DF_E_2001672,HUB-N03,spoof,1.8108557924279012e-06,0.9999982118606567,-7.212435245513916
VCC2TF1,DF_E_2025510,HUB-D02,spoof,3.254739203839563e-05,0.9999674558639526,-5.373337268829346
TEF1,DF_E_2013336,Task1-team29,spoof,0.9999123811721802,8.764948142925277e-05,3.7229676246643066
TGF1,DF_E_2037040,Task2-team26,spoof,3.614889646996744e-05,0.9999638795852661,-5.162095546722412
LA_0034,DF_E_2018548,-,bonafide,0.004093470051884651,0.9959064722061157,-2.944243907928467
LA_0011,DF_E_2025176,A10,spoof,0.003066842444241047,0.996933102607727,-2.96148681640625
LA_0023,DF_E_2024448,A13,spoof,0.00016997188504319638,0.9998300075531006,-4.508484840393066
TFM1,DF_E_2011006,Task2-team20,spoof,0.04861966893076897,0.9513803720474243,-1.6965010166168213
LA_0034,DF_E_2032773,-,bonafide,0.9999985694885254,1.4299542954177014e-06,5.313449382781982
LA_0044,DF_E_2035184,-,bonafide,0.9978049397468567,0.0021950702648609877,2.148892402648926
LA_0047,DF_E_2030981,-,bonafide,0.9999996423721313,3.4958662809003727e-07,5.9099555015563965
VCC2TF1,DF_E_2021110,SPO-N06,spoof,1.8906152035924606e-05,0.9999810457229614,-5.381611347198486
LA_0058,DF_E_2011325,-,bonafide,0.999755322933197,0.0002447246515657753,3.2119829654693604
VCC2TF2,DF_E_2008052,HUB-D01,spoof,1.406971932738088e-05,0.999985933303833,-5.5572333335876465
TEF2,DF_E_2019677,Task1-team21,spoof,0.001400482258759439,0.9985994696617126,-3.200507640838623
LA_0005,DF_E_2006743,-,bonafide,0.07234162837266922,0.9276583790779114,-1.5119705200195312
LA_0020,DF_E_2018288,-,bonafide,0.9999997615814209,2.539097181397665e-07,6.000947952270508
LA_0005,DF_E_2018961,-,bonafide,0.9999985694885254,1.4437061963690212e-06,5.358003616333008
VCC2TF1,DF_E_2026272,SPO-B00,spoof,8.898634405341e-05,0.9999109506607056,-4.5427470207214355
LA_0010,DF_E_2003378,A18,spoof,3.773315938815358e-06,0.9999961853027344,-6.647607326507568
LA_0011,DF_E_2013039,-,bonafide,0.9999961853027344,3.829850356851239e-06,4.79576301574707
TEM1,DF_E_2014366,Task1-team31,spoof,0.45467546582221985,0.5453245043754578,-0.40727436542510986
TMM1,DF_E_2032481,Task2-team20,spoof,1.8690938304644078e-05,0.9999812841415405,-5.42092752456665
TMM1,DF_E_2023636,Task2-team12,spoof,2.0452551325433888e-05,0.9999794960021973,-5.425243854522705
LA_0009,DF_E_2011518,-,bonafide,0.43042731285095215,0.5695727467536926,-0.5010411739349365
LA_0043,DF_E_2002772,-,bonafide,0.9964902997016907,0.0035096313804388046,2.065478801727295
VCC2TF2,DF_E_2025918,HUB-B01,spoof,2.0845855033257976e-05,0.9999791383743286,-5.781773567199707
TEM2,DF_E_2021244,Task1-team21,spoof,0.9461163282394409,0.05388369783759117,0.9330675005912781
TMF1,DF_E_2031819,-,bonafide,0.001456564525142312,0.9985435009002686,-3.2816174030303955
LA_0005,DF_E_2015671,-,bonafide,0.9999997615814209,2.923112845110154e-07,5.999772548675537
TGM1,DF_E_2024507,-,bonafide,0.9919295310974121,0.008070542477071285,1.5920376777648926
LA_0023,DF_E_2032016,A16,spoof,2.176483212679159e-05,0.9999781847000122,-5.229398250579834
TFF1,DF_E_2023682,Task2-team15,spoof,0.30892494320869446,0.6910750865936279,-0.8312134146690369
VCC2TF1,DF_E_2010061,HUB-D02,spoof,2.097993638017215e-05,0.9999790191650391,-5.935535430908203
